;code_dep;YouTube;Web_Adult;cpc;yt_per_1000;wa_per_1000;cpc_per_1000;geoName;porno mineur;pedoporno;pthc;hurtcore;boylove;porno jeune;jeune porno;ado porno;porno jeune fille;video porno ado;porno jeune ado;pedopornographie;porno enfant;omegle;PC1;PC2;PC3;lin_1;lin_2;lin_3
0;1;1920964997.0;19015064.0;92946.27510604016;54787661.77057783;542326.8495807427;2650.911958988083;Rhone-Alpes;69;45;39;42;0;56;56;62;50;56;52;65;62;66;2.5137821565483436;-1.8684400165463575;0.7399466585157534;0.5866666666666667;0.4766666666666667;0.49363636363636365
1;6;1680704792510.0;15732883719.0;132382146.19042179;3104494073.4754643;29060810.96572081;244528.12303126795;Provence-Alpes-Côte d'Azur;75;39;47;58;0;61;61;64;58;0;53;65;58;72;1.933183596266024;-0.921611073037087;-0.142833903243111;0.5733333333333334;0.4116666666666667;0.4763636363636364
2;13;2260237395159.0;22994012193.0;149550394.96969512;2270276558.098913;23096143.33884437;150214.6441260204;Provence-Alpes-Côte d'Azur;75;39;47;58;0;61;61;64;58;0;53;65;58;72;1.933183596266024;-0.921611073037087;-0.142833903243111;0.5733333333333334;0.4116666666666667;0.4763636363636364
3;21;675218296811.0;7827512087.0;56481239.655414544;2421864687.7557826;28075624.144102782;202586.2161735953;Burgundy;0;49;38;0;0;86;86;83;98;0;0;59;76;83;-1.815083338697177;1.1646683930684165;0.88389845933621;0.4166666666666667;0.44;0.3881818181818182
4;31;3652657067918.0;54863241456.0;791502924.6997243;4114557266.674927;61801024.462117285;891593.1744651862;Midi-Pyrénées;0;22;33;0;0;55;55;59;58;0;57;66;63;75;1.6863847143460193;0.47849844426834254;-0.7833582310853987;0.2833333333333333;415;0.3336363636363636
5;33;3590560503143.0;47274942712.0;441707353.64122516;3986517352.680653;52488289.58693248;490417.59038902464;Aquitaine;0;40;36;55;0;59;59;65;55;0;65;93;61;72;1.4980557987649976;-0.6308710061887277;-1.4334082005923754;0.33666666666666667;0.42833333333333334;0.4081818181818182
6;34;2049013504764.0;24101613163.0;206968571.1174636;3671179024.365073;43182407.77410483;370821.7028451245;Languedoc-Roussillon;0;49;22;0;0;60;60;66;61;0;64;75;70;86;0.5472676449204571;-0.117724958729353;-0.804685571186239;0.39666666666666667;0.46166666666666667;0.38
7;35;1834662938466.0;24989652470.0;334466016.06048536;3277483106.6351304;44642076.80544788;597497.6080883589;Brittany;0;57;26;74;0;58;58;65;58;0;59;86;66;80;1.3027030013763503;-0.8477603784426814;-1.4326012550360145;0.41;0.43666666666666665;0.4409090909090909
8;37;994414767618.0;13613604661.0;54973309.07686261;2813643499.9632173;38518967.65093683;155544.04338351623;Centre-Val de Loire;0;69;41;0;0;77;77;73;80;0;77;94;91;85;-1.4847220986312988;-0.8024039808209973;-1.0548562652159987;0.5333333333333333;525;0.4690909090909091
9;38;1363584090216.0;22334374238.0;137673643.15768912;2705523988.5238094;44314234.59920635;273161.9903922403;Rhone-Alpes;69;45;39;42;0;56;56;62;50;56;52;65;62;66;2.5137821565483436;-1.8684400165463575;0.7399466585157534;0.5866666666666667;0.4766666666666667;0.49363636363636365
10;42;900081173608.0;12191119272.0;18747551.24995658;1919534349.3322756;25999068.62356208;39981.47016663592;Rhone-Alpes;69;45;39;42;0;56;56;62;50;56;52;65;62;66;2.5137821565483436;-1.8684400165463575;0.7399466585157534;0.5866666666666667;0.4766666666666667;0.49363636363636365
11;43;752839117.0;14001586.0;7678.705736758776;42058051.22905028;782211.5083798883;428.977974120602;Auvergne;0;100;49;0;0;72;72;79;74;0;0;74;83;81;-1.2148900804083658;-0.029785910019467426;-0.4332242618431722;0.61;0.39;0.42363636363636364
12;44;2441828041514.0;42172029902.0;622390658.1894042;3245954954.237054;56059848.22164442;827352.29757135;Pays de la Loire;0;8;38;100;0;70;70;74;67;0;61;50;72;83;1.0835335705634048;0.35389189763813933;-0.7258702882972521;0.26666666666666666;475;0.4572727272727273
13;45;798185090870.0;11722306188.0;80558220.48841369;2432512192.8675046;35724361.50085941;245505.52975148323;Centre-Val de Loire;0;69;41;0;0;77;77;73;80;0;77;94;91;85;-1.4847220986312988;-0.8024039808209973;-1.0548562652159987;0.5333333333333333;525;0.4690909090909091
14;54;846005185757.0;13137842953.0;170524204.560712;2890763914.729821;44891453.34485987;582673.989983913;Lorraine;0;52;64;0;0;74;74;79;80;0;76;100;82;93;-1.5996329472573858;-0.6058244100848682;-1.2644339204327149;0.44666666666666666;0.5466666666666666;0.4781818181818182
15;57;980824193453.0;11086770814.0;121718478.68067479;3879182708.0559874;43848438.809854336;481399.4402877469;Lorraine;0;52;64;0;0;74;74;79;80;0;76;100;82;93;-1.5996329472573858;-0.6058244100848682;-1.2644339204327149;0.44666666666666666;0.5466666666666666;0.4781818181818182
16;59;5471114169150.0;95242227515.0;557267356.1286871;4536435973.949411;78971166.34384654;462064.50885352463;Nord-Pas-de-Calais;100;73;42;0;0;85;85;95;83;100;84;90;77;99;-1.9929469894073986;-3.6399788549630228;2.6236541338319044;0.8333333333333334;0.7683333333333333;0.6845454545454546
17;62;2974318840.0;61469122.0;108417.85883266662;48903631.04242025;1010672.8378822756;1782.6020853776163;Nord-Pas-de-Calais;100;73;42;0;0;85;85;95;83;100;84;90;77;99;-1.9929469894073986;-3.6399788549630228;2.6236541338319044;0.8333333333333334;0.7683333333333333;0.6845454545454546
18;63;699689696279.0;13136861652.0;57318403.28439538;2136678911.0289311;40116719.451790415;175036.19699265077;Auvergne;0;100;49;0;0;72;72;79;74;0;0;74;83;81;-1.2148900804083658;-0.029785910019467426;-0.4332242618431722;0.61;0.39;0.42363636363636364
19;67;1916303328491.0;22654168119.0;170265538.06376022;3481548223.421515;41158191.18777218;309339.1702359488;Alsace;0;29;35;0;0;62;62;61;68;0;0;88;60;78;0.6724597906865962;0.8097823805729004;-0.21400192872141313;0.2966666666666667;345;0.3009090909090909
20;69;4688106377305.0;59036158771.0;675172579.5432458;3109415636.334634;39156098.522066206;447812.4016594974;Rhone-Alpes;69;45;39;42;0;56;56;62;50;56;52;65;62;66;2.5137821565483436;-1.8684400165463575;0.7399466585157534;0.5866666666666667;0.4766666666666667;0.49363636363636365
21;72;513313155685.0;7093192719.0;30829173.030786388;2015941576.0504582;27857190.00341676;121075.82083120168;Pays de la Loire;0;8;38;100;0;70;70;74;67;0;61;50;72;83;1.0835335705634048;0.35389189763813933;-0.7258702882972521;0.26666666666666666;475;0.4572727272727273
22;75;16811611211566.0;137276601845.0;4013467809.694172;7675388748.605117;62674021.66206233;1832360.1040822542;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
23;77;13580392226.0;237978745.0;256006.9153491233;65622878.55769138;1149955.7614063572;1237.0710975284533;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
24;78;11385387095.0;132637461.0;3893849.7799352207;49426039.69142877;575803.3835173994;16903.911318048988;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
25;91;645807913695.0;8898896849.0;97609953.73039094;1271768606.5167003;17524309.326648325;192220.12026394278;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
26;92;7804553831620.0;95833589912.0;961688720.9983888;4867903451.961868;59773905.49303049;599830.2972418765;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
27;93;6769646496913.0;92921640550.0;750968132.7746817;4213490406.7525177;57835285.96591687;467409.4909779802;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
28;94;5804923269819.0;86289711253.0;821295072.3855358;4212109754.1698985;62612668.17133971;595939.8298049603;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
29;95;498449192626.0;6853926196.0;17567163.836731173;1440367317.0200286;19805772.447891533;50763.78699674093;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182