geoName;code_reg;porno mineur;pedoporno;pthc;hurtcore;boylove;zoo preteen;zoo pre-teen;girllove;pedodad;pedomom;pre-teen hardcore;porno jeune;jeune porno;porno pour mineur;ado porno;sexe mineur;porno jeune fille;sex mineur;video porno ado_x;porno jeune ado_x;site interdit au mineur;site x pour mineur;porno jeune ado_y;video porno ado_y;site pedoporno;pedopornographie;porno enfant;pthc torrent;psthc;pthc forum;phtc;omegle
Alsace;44;0;29;35;0;0;0;0;0;0;0;0;62;62;0;61;0;68;0;0;0;0;0;0;0;0;88;60;0;62;0;0;78
Aquitaine;75;0;40;36;55;0;0;0;0;0;0;0;59;59;0;65;0;55;0;0;65;0;0;65;0;0;93;61;0;38;0;0;72
Auvergne;84;0;100;49;0;0;0;0;0;0;0;0;72;72;0;79;0;74;0;0;0;0;0;0;0;0;74;83;0;49;0;0;81
Brittany;53;0;57;26;74;0;0;0;0;0;0;0;58;58;0;65;0;58;0;0;59;0;0;59;0;0;86;66;0;53;0;0;80
Burgundy;27;0;49;38;0;0;0;0;0;0;0;0;86;86;0;83;0;98;0;0;0;0;0;0;0;0;59;76;0;65;0;0;83
Centre-Val de Loire;24;0;69;41;0;0;0;0;0;0;0;0;77;77;0;73;0;80;0;0;77;0;0;77;0;0;94;91;0;58;0;0;85
Champagne-Ardenne;44;0;56;56;0;0;0;0;0;0;0;0;83;83;0;100;0;94;0;0;0;0;0;0;0;0;73;90;0;81;0;0;97
Corsica;94;0;0;89;0;0;0;0;0;0;0;0;64;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74
Franche-Comté;27;0;46;0;0;0;0;0;0;0;0;0;70;70;0;91;0;91;0;0;0;0;0;0;0;0;62;0;0;56;0;0;91
Languedoc-Roussillon;76;0;49;22;0;0;0;0;0;0;0;0;60;60;0;66;0;61;0;0;64;0;0;64;0;0;75;70;0;53;0;0;86
Limousin;75;0;0;0;0;0;0;0;0;0;0;0;74;74;0;81;0;82;0;0;0;0;0;0;0;0;32;0;0;52;0;0;66
Lorraine;44;0;52;64;0;0;0;0;0;0;0;0;74;74;0;79;0;80;0;0;76;0;0;76;0;0;100;82;0;100;0;0;93
Lower Normandy;28;0;76;100;0;0;0;0;0;0;0;0;84;84;0;87;0;86;0;0;0;0;0;0;0;0;92;81;0;56;0;0;90
Midi-Pyrénées;76;0;22;33;0;0;0;0;0;0;0;0;55;55;0;59;0;58;0;0;57;0;0;57;0;0;66;63;0;42;0;0;75
Nord-Pas-de-Calais;32;100;73;42;0;0;0;0;0;0;0;0;85;85;0;95;0;83;0;100;84;0;0;84;100;0;90;77;0;95;0;0;99
Pays de la Loire;52;0;8;38;100;0;0;0;0;0;0;0;70;70;0;74;0;67;0;0;61;0;0;61;0;0;50;72;0;50;0;0;83
Picardy;32;0;38;76;0;0;0;0;0;0;0;0;100;100;0;91;0;100;0;0;0;0;0;0;0;0;67;100;0;83;0;0;100
Poitou-Charentes;75;0;55;32;0;0;0;0;0;0;0;0;87;87;0;87;0;93;0;0;0;0;0;0;0;0;91;82;0;48;0;0;85
Provence-Alpes-Côte d'Azur;93;75;39;47;58;0;0;0;0;0;0;0;61;61;0;64;0;58;0;0;53;0;0;53;0;0;65;58;0;38;0;0;72
Rhone-Alpes;84;69;45;39;42;0;0;0;0;0;0;0;56;56;0;62;0;50;0;56;52;0;0;52;56;0;65;62;0;38;0;0;66
Upper Normandy;28;0;96;67;0;0;0;0;0;0;0;0;81;81;0;90;0;79;0;0;100;0;0;100;0;0;83;97;0;70;0;0;84
Île-de-France;11;71;49;32;59;100;0;0;0;0;0;0;43;43;0;49;100;44;0;44;34;0;0;34;44;0;70;49;0;42;0;100;50